task_id,trial,duration_seconds,num_steps,avg_step_latency_seconds,total_llm_time_seconds,total_tool_stall_time_seconds,avg_llm_latency_seconds,total_prompt_tokens,total_completion_tokens,avg_peak_gpu_memory_mb,total_tool_idle_window_seconds,reward,termination_reason
0,0,36.57148647401482,13,2.8130667373323095,24.955141823738813,0.0008402420207858086,4.159190303956469,33037,432,7680.52001953125,0.028736775973811746,0.0,user_stop
1,0,50.976635719882324,23,2.2162944378493274,41.04155936301686,0.0019546819385141134,3.7310508511833507,71818,592,7680.543146306818,0.11841056821867824,0.0,user_stop
2,0,73.54968317504972,19,3.8709468089509755,61.030967470724136,0.0018713439349085093,6.7812186078582375,63598,1091,7680.555772569444,0.07206634059548378,1.0,user_stop
3,0,21.35727310203947,7,3.0508089919042374,12.999132412020117,0.00021645007655024529,4.333044137340039,15590,226,7680.512858072917,0.010669650975614786,0.0,user_stop
4,0,9.963681554887444,5,1.9924418389331549,5.354574377881363,0.0001235238742083311,2.6772871889406815,9980,74,7680.5078125,0.011253827018663287,1.0,user_stop
